key;description;en
legal.conditions.content;;"<p style=""margin-bottom: 2rem;"">Terms of Use Last updated: 2024</p>
<p style=""margin-bottom: 2rem;"">1. Acceptance of Terms By accessing and using this website, you agree to be bound by these terms of use. If you do not agree to these terms, please do not use this site.</p>
<p style=""margin-bottom: 2rem;"">2. Description of Service This site is an affiliate site that provides links to products available on AliExpress. We do not sell the products directly, but earn a commission on sales made through our affiliate links.</p>
<p style=""margin-bottom: 2rem;"">3. Affiliate Links All links to AliExpress are affiliate links. By clicking on these links and making a purchase, we may receive a commission at no additional cost to you.</p>
<p style=""margin-bottom: 2rem;"">4. Liability We are not responsible for the quality, availability, or delivery of products sold on AliExpress. All disputes concerning products must be resolved directly with AliExpress or the seller.</p>
<p style=""margin-bottom: 2rem;"">5. Intellectual Property The content of this site, including text, images, and logos, is protected by intellectual property laws. Any unauthorized reproduction is prohibited.</p>
<p style=""margin-bottom: 2rem;"">6. Modifications We reserve the right to modify these terms of use at any time. Modifications will take effect immediately upon their posting on the website.</p>
<p style=""margin-bottom: 2rem;"">7. Contact For any questions regarding these terms of use, you can contact us at: contact@evanstudio.com</p>"
;;
legal.mentions.content;;"<p>Last updated: 2024</p>
<h2>1. Website Publisher</h2>
<ul>
    <li>Company name: EVAN STUDIO CO.LTD</li>
    <li>Email: contact@evanstudio.net</li>
</ul>
<h2>2. Publication Director</h2>
<p>EVAN STUDIO CO.LTD (Director and Owner)</p>
<h2>3. Hosting</h2>
<ul>
    <li>Host: Cloudflare</li>
    <li>Address: 101 Townsend St, San Francisco, CA 94107, USA</li>
</ul>
<h2>4. Intellectual Property</h2>
<p>This entire website is governed by French and international legislation on copyright and intellectual property. All rights of reproduction are reserved, including for downloadable documents and iconographic and photographic representations. Reproduction of all or part of this website on any electronic medium whatsoever is strictly prohibited without the express authorization of the publication director.</p>
<h2>5. Protection of Personal Data</h2>
<p>In accordance with the French Data Protection Act of 6 January 1978, as amended, and the General Data Protection Regulation (GDPR), you have the right to access, rectify, erase, and object to the processing of your personal data. To exercise this right, you can contact us at: contact@alxgroup.com</p>
<h2>6. External Links</h2>
<p>This site contains links to external websites. We are not responsible for the content of these external websites or their privacy policies.</p>
<h2>7. Cookies</h2>
<p>This site may use cookies to improve the user experience. For more information, please see our <a href=""https://policies.google.com/privacy?hl=en-US"">Privacy Policy</a>.</p>
<h2>8. Contact</h2>
<p>For any questions regarding these legal notices, you can contact us at: contact@evanstudio.com</p>"
;;
legal.policy.content;;"<p>Last updated: 2024</p>
<h2>1. Introduction</h2>
<p>This privacy policy describes how we collect, use, and protect your personal information when you use our website.</p>
<h2>2. Data Collected</h2>
<ul>
    <li>Browsing data: IP address, browser type, pages visited, visit duration</li>
    <li>Cookies: to improve your user experience and analyze traffic</li>
    <li>Contact data: if you contact us via the form or email</li>
</ul>
<h2>3. Use of Data</h2>
<ul>
    <li>Improve the website's functionality</li>
    <li>Analyze website traffic and usage</li>
    <li>Contact you in response to your inquiries</li>
    <li>Comply with our legal obligations</li>
</ul>
<h2>4. Cookies</h2>
<ul>
    <li>Remember your preferences</li>
    <li>Analyze website traffic</li>
    <li>Improve the user experience</li>
</ul>
<p>You can disable cookies in your browser settings, but this may affect some website functionality.</p>
<h2>5. Data Sharing</h2>
<p>We do not sell, rent, or share your personal data with third parties, except:</p>
<ul>
    <li>When required by law</li>
    <li>With your explicit consent</li>
    <li>With our service providers (hosting, analytics) under a confidentiality agreement</li>
</ul>
<h2>6. Data Security</h2>
<p>We implement appropriate security measures to protect your personal data against unauthorized access, modification, disclosure, or destruction.</p>
<h2>7. Your Rights (GDPR)</h2>
<ul>
    <li>Right of access: you can request a copy of your personal data</li>
    <li>Right to rectification: you can correct your inaccurate data</li>
    <li>Right to erasure: you can request the deletion of your data</li>
    <li>Right to object: You can object to the processing of your personal data under certain circumstances.</li>
</ul>"
;;
;;
;;
;;
legal.aboutus.content;;"<p>
RV TRAVEL SHOP was created with a simple goal: <strong>make motorhome and van equipment accessible to everyone at a fair price</strong>.
</p>

<p>
We work with numerous brands and manufacturers directly from specialized factories, notably through trusted platforms such as <strong>AliExpress</strong>. By sourcing as close to the production line as possible, we are able to offer <strong>factory-level prices</strong> while providing a wide selection of accessories for your nomadic journeys.
</p>

<h2>What We Offer</h2>

<p>
Our catalog covers a broad range of needs for the ""Van Life,"" including:
</p>

<p>
• Technical equipment and onboard power systems<br>
• Kitchen accessories and interior outfitting<br>
• Camping gear and outdoor furniture<br>
• Water, heating, and sanitation solutions<br>
• Storage and space optimization for vans
</p>

<h2>Our Approach</h2>

<p>
Instead of focusing on expensive marketing budgets or unnecessary intermediaries, RV TRAVEL SHOP prioritizes <strong>value, variety, and accessibility</strong>. This approach allows us to offer competitive pricing without compromising on the practicality and utility of our products.
</p>

<p>
We carefully select our items based on traveler demand, durability, and community feedback, ensuring we always meet the real-world needs of life on the road.
</p>

<h2>Our Philosophy</h2>

<p>
RV TRAVEL SHOP is for weekend warriors, digital nomads, and freedom seekers looking for <strong>reliable gear at the right price</strong>, without paying for unjustified markups.
</p>

<p>
<strong>Drive more. Explore more. Pay less.</strong><br>
That’s the RV TRAVEL SHOP philosophy.
</p>"
;;
;;
;;
footer.copyright;Texte copyright footer;© 2024 AliExpress Affiliate. All rights reserved.
footer.contact;Texte contact footer;Contact us:
site.domain;Domaine du site (URL de base);https://rvtravelshop.com
site.contact.email;Adresse email de contact;contact@evanstudio.net
;;
;;
;;
;;
;;
;;
;;
;Index;
;;
site.meta.title;Titre SEO du site (page d'accueil);RV TRAVEL SHOP | Camping Car & Van Equipment at Factory Prices
site.meta.description;Description SEO du site (page d'accueil);Shop quality van life and motorhome equipment. From solar kits to kitchen gear, get factory prices for your adventures. Drive more, pay less!
homepage.hero.title;Titre principal de la page d'accueil (hero);Discover the Best Products of RV TRAVEL SHOP
homepage.hero.subtitle;Sous-titre de la page d'accueil (hero);Exclusive offers and competitive prices for all your needs
homepage.hero.button;Texte du bouton hero;View Products
homepage.hero.button.url;URL du lien du bouton hero;https://rvtravelshop.com
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;;
;presentation;
;;
homepage.presentation.title;Titre de la section présentation marque;About RV TRAVEL SHOP
homepage.presentation.content;Contenu de la section présentation marque;RV TRAVEL SHOP is your premier destination for affordable campervan, motorhome, and van life equipment at factory prices. We offer a wide range of specialized gear sourced directly from manufacturers through trusted platforms like AliExpress. By working at the source, we eliminate unnecessary intermediaries to pass the savings directly to you. Our selection includes everything from solar power systems and interior fittings to outdoor camping gear and sanitation solutions. Whether you are a weekend adventurer or a full-time digital nomad, RV TRAVEL SHOP helps you stay equipped and ready for the road—without overpaying.
;;
;;
;;
;;
;;
;;
homepage.advantages.title;Titre de la section avantages;</section>
homepage.advantages.factory_price.title;Titre avantage: Prix Direct Usine;Factory Direct Price
homepage.advantages.factory_price.description;Description avantage: Prix Direct Usine;Benefit from factory-direct pricing without intermediaries.
homepage.advantages.worldwide_shipping.title;Titre avantage: Livraison Mondiale;Worldwide Delivery
homepage.advantages.worldwide_shipping.description;Description avantage: Livraison Mondiale;Worldwide delivery for all your needs
homepage.advantages.customer_service.title;Titre avantage: Service Après-Vente Réactif;Responsive After-Sales Service
homepage.advantages.customer_service.description;Description avantage: Service Après-Vente Réactif;A responsive and available after-sales service to assist you
homepage.advantages.secure_payment.title;Titre avantage: Paiement Sécurisé;Secure Payment
homepage.advantages.secure_payment.description;Description avantage: Paiement Sécurisé;Secure payment by credit card with maximum protection
homepage.faq.title;Titre de la section FAQ;Frequently Asked Questions
homepage.categories.title;Titre de la section catégories;Our Categories
homepage.testimonials.title;Titre de la section témoignages;Customer Reviews
homepage.stats.title;Titre de la section statistiques;Our Key Figures
homepage.stats.products.number;Nombre de produits;2800
homepage.stats.products.label;Label produits;Products Available
homepage.stats.countries.number;Nombre de pays;108
homepage.stats.countries.label;Label pays;Country of Delivery
homepage.stats.satisfaction.number;Taux de satisfaction;98 %
homepage.stats.satisfaction.label;Label satisfaction;Customer Satisfaction
homepage.stats.support.number;Support client;24/7
homepage.stats.support.label;Label support;Customer Service
homepage.testimonials.1.name;Nom du témoignage 1;Jack D.
homepage.testimonials.1.text;Texte du témoignage 1;Excellent service! I ordered a rooftop car tent and I’m extremely satisfied. The quality is outstanding, the delivery was fast, and the packaging was secure. The tent is exactly as described—strong, comfortable, and very easy to set up. It has completely upgraded our road trips and camping experience. I highly recommend it without hesitation.
homepage.testimonials.2.name;Nom du témoignage 2;Marine G.
homepage.testimonials.2.text;Texte du témoignage 2;Excellent value for money. I bought a gas heater for my camper van and it fully matches the description. The heater is efficient, reliable, and well built, providing fast and consistent warmth even in cold conditions. Delivery was on time, the packaging was secure, and the product exceeded my expectations.
homepage.testimonials.3.name;Nom du témoignage 3;Fabrice L.
homepage.testimonials.3.text;Texte du témoignage 3;Perfect! I ordered outdoor camping chairs and I’m very satisfied. The quality is excellent, the price is competitive, and the delivery went smoothly. The chairs are sturdy, comfortable, and well designed, making them ideal for camping, road trips, and outdoor use. I will definitely be back!
homepage.testimonials.4.name;Nom du témoignage 4;Rose K.
homepage.testimonials.4.text;Texte du témoignage 4;"Responsive customer service and quality product. I had a quick question before ordering and received a prompt and helpful reply. The inflatable mattress perfectly matches the photos and description. The build quality is excellent, it inflates easily, and it’s very comfortable for sleeping. It performed exactly as expected and made our camping nights much more enjoyable. Very satisfied with my purchase!

"
;;
;;
;;
;;
;FAQ;
homepage.faq.1.question;Question FAQ 1;What are the delivery times?
homepage.faq.1.answer;Réponse FAQ 1;Delivery times vary depending on your location and the seller. Generally, standard delivery takes between 15 and 30 business days. Some sellers offer express delivery (7-15 days) for an additional fee. You can check the exact delivery times on each AliExpress product page before placing your order.
homepage.faq.2.question;Question FAQ 2;What payment methods are accepted?
homepage.faq.2.answer;Réponse FAQ 2;AliExpress accepts several secure payment methods: credit cards (Visa, Mastercard), PayPal, bank transfer, and other methods depending on your country. All payments are secure and protected by AliExpress's Buyer Protection system. You will only be charged once your order has shipped.
homepage.faq.3.question;Question FAQ 3;Is there a warranty on the products?
homepage.faq.3.answer;Réponse FAQ 3;Yes, all products sold on AliExpress are covered by the AliExpress Buyer Guarantee. This guarantee covers defective products, products that do not match the description, or products that were not received. You generally have 15 days after receipt to open a dispute if necessary. In addition, many sellers offer their own extended warranties (6 months, 1 year, etc.), which you can find on the product page.
homepage.faq.4.question;Question FAQ 4;What should I do if there's a problem with my order?
homepage.faq.4.answer;Réponse FAQ 4;"If you encounter a problem (defective product, not received, non-compliant), you can open a dispute directly from your AliExpress account in the ""My Orders"" section. AliExpress customer service will assist you in resolving the issue. Most disputes are resolved quickly, often in your favor if you provide the necessary evidence (photos, description of the problem)."
homepage.faq.5.question;Question FAQ 5;Are the products authentic and of good quality?
homepage.faq.5.answer;Réponse FAQ 5;We select only quality products from verified and positively rated sellers on AliExpress. Each product displays customer reviews and ratings, allowing you to check the quality before purchasing. We recommend reading reviews and checking photos shared by customers to ensure the product meets your expectations.
homepage.bestsellers.title;Titre de la section Best Sellers;Best Sellers
button.view_products;"Texte bouton ""Voir les Produits""";View Products
button.view_on_aliexpress;"Texte bouton ""Voir sur AliExpress""";View on AliExpress
button.discover_reviews;"Texte bouton ""Découvrez les X avis""";Discover the
button.positive_reviews;"Texte ""avis positifs sur AliExpress""";Positive reviews on AliExpress
